n,m,percentage,time
20,0,500,124.24361610412598
20,1,500,124.24361610412598
20,2,500,124.24361610412598
20,3,500,124.24361610412598
20,4,496,124.24361610412598
20,5,497,124.24361610412598
20,6,490,124.24361610412598
20,7,489,124.24361610412598
20,8,486,124.24361610412598
20,9,473,124.24361610412598
20,10,456,124.24361610412598
20,11,454,124.24361610412598
20,12,444,124.24361610412598
20,13,414,124.24361610412598
20,14,397,124.24361610412598
20,15,379,124.24361610412598
20,16,379,124.24361610412598
20,17,350,124.24361610412598
20,18,336,124.24361610412598
20,19,320,124.24361610412598
20,20,301,124.24361610412598
20,21,291,124.24361610412598
20,22,289,124.24361610412598
20,23,264,124.24361610412598
20,24,264,124.24361610412598
20,25,234,124.24361610412598
20,26,258,124.24361610412598
20,27,256,124.24361610412598
20,28,243,124.24361610412598
20,29,231,124.24361610412598
20,30,241,124.24361610412598
20,31,236,124.24361610412598
20,32,232,124.24361610412598
20,33,244,124.24361610412598
20,34,217,124.24361610412598
20,35,228,124.24361610412598
20,36,229,124.24361610412598
20,37,245,124.24361610412598
20,38,205,124.24361610412598
20,39,242,124.24361610412598
20,40,244,124.24361610412598
20,41,232,124.24361610412598
20,42,257,124.24361610412598
20,43,251,124.24361610412598
20,44,250,124.24361610412598
20,45,254,124.24361610412598
20,46,261,124.24361610412598
20,47,276,124.24361610412598
20,48,269,124.24361610412598
20,49,291,124.24361610412598
20,50,298,124.24361610412598
20,51,316,124.24361610412598
20,52,303,124.24361610412598
20,53,307,124.24361610412598
20,54,323,124.24361610412598
20,55,332,124.24361610412598
20,56,341,124.24361610412598
20,57,348,124.24361610412598
20,58,350,124.24361610412598
20,59,340,124.24361610412598
20,60,370,124.24361610412598
20,61,351,124.24361610412598
20,62,380,124.24361610412598
20,63,381,124.24361610412598
20,64,402,124.24361610412598
20,65,399,124.24361610412598
20,66,413,124.24361610412598
20,67,399,124.24361610412598
20,68,414,124.24361610412598
20,69,399,124.24361610412598
20,70,430,124.24361610412598
20,71,415,124.24361610412598
20,72,422,124.24361610412598
20,73,424,124.24361610412598
20,74,433,124.24361610412598
20,75,432,124.24361610412598
20,76,448,124.24361610412598
20,77,448,124.24361610412598
20,78,448,124.24361610412598
20,79,442,124.24361610412598
20,80,446,124.24361610412598
20,81,462,124.24361610412598
20,82,464,124.24361610412598
20,83,455,124.24361610412598
20,84,471,124.24361610412598
20,85,463,124.24361610412598
20,86,451,124.24361610412598
20,87,468,124.24361610412598
20,88,480,124.24361610412598
20,89,479,124.24361610412598
20,90,472,124.24361610412598
20,91,467,124.24361610412598
20,92,484,124.24361610412598
20,93,476,124.24361610412598
20,94,472,124.24361610412598
20,95,484,124.24361610412598
20,96,483,124.24361610412598
20,97,487,124.24361610412598
20,98,488,124.24361610412598
20,99,485,124.24361610412598
20,100,490,124.24361610412598
20,101,485,124.24361610412598
20,102,489,124.24361610412598
20,103,490,124.24361610412598
20,104,493,124.24361610412598
20,105,490,124.24361610412598
20,106,492,124.24361610412598
20,107,493,124.24361610412598
20,108,492,124.24361610412598
20,109,496,124.24361610412598
20,110,498,124.24361610412598
20,111,494,124.24361610412598
20,112,499,124.24361610412598
20,113,498,124.24361610412598
20,114,494,124.24361610412598
20,115,497,124.24361610412598
20,116,496,124.24361610412598
